"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;170,050003;174,25;169,509995;173,080002;9135000;150,662186
2010-01-05;173;176,259995;172,570007;176,139999;11659400;153,32579
2010-01-06;175,380005;175,380005;173,759995;174,259995;7381100;151,689255
2010-01-07;174,320007;178,75;173,949997;177,669998;8727400;154,657593
2010-01-08;176,330002;177,429993;173,949997;174,309998;7268100;151,732819
2010-01-11;175,059998;175,059998;170,520004;171,559998;7704900;149,33902
2010-01-12;170,009995;170,479996;167,029999;167,820007;10360100;146,083405
2010-01-13;168,009995;169,669998;166,119995;169,070007;11269500;147,171524
2010-01-14;168;170,720001;167,210007;168,529999;10521400;146,701462
2010-01-15;167,600006;167,800003;164,580002;165,210007;10896300;143,811493
2010-01-19;165,009995;167,399994;163,899994;166,860001;7705300;145,247726
2010-01-20;165,800003;168,179993;164,320007;167,789993;8893900;146,057327
2010-01-21;169,289993;171;156,770004;160,869995;51738300;140,0336
2010-01-22;158,690002;159,75;152,25;154,119995;30175600;134,157867
2010-01-25;156,130005;158,300003;154,5;154,979996;17877000;134,906479
2010-01-26;154,910004;156,5;150,699997;150,880005;15985900;131,337555
2010-01-27;150,75;152,929993;148,270004;151,5;19899000;131,877213
2010-01-28;154,229996;155,199997;149,949997;153,289993;16160700;133,435394
2010-01-29;154,440002;154,880005;147,809998;148,720001;18502800;129,457321
2010-02-01;149,820007;155,25;149,210007;153,130005;12980800;133,296112
2010-02-02;153,649994;157,5;153,649994;156,940002;17246600;136,61261
2010-02-03;157,919998;159,940002;157,110001;157,229996;16785200;136,865067
2010-02-04;155,270004;156,059998;150,449997;150,679993;18895000;131,163467
2010-02-05;150,820007;154,460007;148,869995;154,160004;18759200;134,192734
2010-02-08;154,270004;154,600006;150,820007;151,100006;10257300;131,529053
2010-02-09;152,699997;153,529999;149,649994;152,490005;14017300;132,738998
2010-02-10;152,770004;155,350006;151,759995;153,630005;10555300;133,731354
2010-02-11;154,399994;155,320007;152,25;154,050003;11163400;134,096954
2010-02-12;152,369995;154,5;151,139999;153,929993;10293200;133,992493
2010-02-16;155,300003;157,740005;154,600006;157,399994;11497100;137,013046
2010-02-17;158;158,190002;155,809998;157,259995;10070000;136,891205
2010-02-18;155,610001;156,589996;154,880005;155,729996;10991100;135,559372
2010-02-19;154,509995;157;154,490005;156,179993;8693000;135,95108
2010-02-22;157,199997;157,970001;156,029999;156,710007;7375500;136,412445
2010-02-23;156,809998;160,210007;155,910004;156,699997;15696000;136,403717
2010-02-24;157,339996;159,25;156,869995;158,330002;8361500;137,822601
2010-02-25;156,229996;156,440002;154,320007;156,440002;10519900;136,177414
2010-02-26;156,259995;156,990005;155,259995;156,350006;7812700;136,40419
2010-03-01;156,509995;158,289993;156,169998;156,539993;6522800;136,569962
2010-03-02;157,179993;159,75;156,910004;158,75;11986400;138,498047
2010-03-03;159,039993;159,449997;157,229996;157,720001;10006000;137,599442
2010-03-04;158,25;163,850006;158,110001;163,610001;15439500;142,738052
2010-03-05;165,110001;168,25;165;167,179993;12226700;145,852646
2010-03-08;167,880005;170,690002;167,460007;169,839996;9344500;148,173279
2010-03-09;169,220001;172,199997;168;168,850006;12958700;147,30957
2010-03-10;170,259995;172,339996;168,869995;171,940002;13107200;150,005371
2010-03-11;171,399994;173,570007;171,100006;173,509995;8910600;151,375107
2010-03-12;175,009995;176,339996;174;174,960007;10216900;152,640137
2010-03-15;173,949997;175,199997;170,380005;173,529999;13958600;151,392502
2010-03-16;174,330002;176,419998;173,559998;176,190002;11687700;153,713181
2010-03-17;176,860001;177,880005;175,570007;176,639999;10138600;154,105835
2010-03-18;176,199997;177,75;175,660004;177,449997;6883500;154,812424
2010-03-19;177,899994;178,210007;175,949997;177,899994;10896600;155,205032
2010-03-22;176,210007;176,949997;175,229996;176,160004;7320400;153,687042
2010-03-23;176,25;176,809998;173,289993;174,830002;10804800;152,526688
2010-03-24;173,639999;175,960007;173,639999;174,410004;8396100;152,160278
