"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;47,610001;47,959999;47,009998;47,73;904000;38,234776
2010-01-05;47,650002;47,82;47,139999;47,349998;964900;37,930367
2010-01-06;47,349998;48,279999;47,23;48,25;893200;38,651325
2010-01-07;48,220001;48,869999;47,799999;48,779999;673800;39,07589
2010-01-08;48,630001;49,509998;48,349998;49,459999;664400;39,620613
2010-01-11;48,360001;49,029999;48,240002;49;1416900;39,252113
2010-01-12;48,470001;48,799999;48,009998;48,220001;1765400;38,627308
2010-01-13;48,310001;48,639999;47,970001;48,450001;777400;38,811535
2010-01-14;48,200001;48,860001;48,200001;48,599998;627400;38,931702
2010-01-15;48,5;48,529999;47,259998;47,689999;877200;38,202728
2010-01-19;47,73;49,169998;47,450001;49,169998;1150700;39,388317
2010-01-20;48,48;48,5;47,959999;48,360001;1094300;38,739445
2010-01-21;48,200001;48,700001;47,5;47,68;1406400;38,194714
2010-01-22;47,419998;47,57;45,919998;46,02;989900;36,864956
2010-01-25;46,619999;46,869999;46,09;46,630001;687500;37,353619
2010-01-26;46,34;46,889999;45,720001;46,16;1920600;36,977116
2010-01-27;50,25;51,860001;49,029999;50,84;8160200;40,726093
2010-01-28;51,09;51,360001;49,73;49,939999;3284300;40,005131
2010-01-29;50,200001;50,41;48,240002;48,240002;2637200;38,643322
2010-02-01;48,459999;49,75;48,439999;49,75;1363300;39,852936
2010-02-02;50;50,599998;49,580002;49,68;2382200;39,796844
2010-02-03;49,59;49,93;48,93;49,23;1512400;39,436375
2010-02-04;48,700001;48,700001;47,150002;47,91;1962700;38,378971
2010-02-05;48;48,549999;47,509998;48,509998;3071100;38,859604
2010-02-08;48,200001;48,34;47,25;47,709999;2016000;38,218758
2010-02-09;48,889999;50,07;48,299999;49,5;1899100;39,652664
2010-02-10;49,27;49,990002;48,84;49,709999;1867700;39,820881
2010-02-11;49,439999;50,84;49,049999;50,720001;1303700;40,868385
2010-02-12;49,740002;51,48;49,360001;51,43;1826700;41,440475
2010-02-16;51,720001;53;51,720001;52,830002;1509800;42,568554
2010-02-17;52,959999;53,580002;52,860001;53,09;1191100;42,778038
2010-02-18;53,080002;53,799999;53,009998;53,779999;726400;43,334019
2010-02-19;53,52;54,52;53,290001;54,310001;1207900;43,761078
2010-02-22;54,380001;54,490002;53,639999;54,040001;737000;43,543518
2010-02-23;53,970001;54,259998;52,810001;53,25;926700;42,906975
2010-02-24;53,360001;53,799999;53;53,779999;785500;43,334019
2010-02-25;53,099998;53,630001;52,110001;53,52;1060500;43,124527
2010-02-26;53,48;54,209999;53,240002;54,09;790700;43,583817
2010-03-01;54,450001;55,220001;54,41;55,130001;864300;44,421806
2010-03-02;55,5;55,91;55,299999;55,650002;765700;44,840805
2010-03-03;55,709999;56,139999;55,099998;55,259998;993700;44,526554
2010-03-04;55,459999;55,619999;54,860001;55;684400;44,317062
2010-03-05;55,310001;56,049999;55,310001;55,98;2167200;45,106705
2010-03-08;56,130001;56,880001;55,950001;56,139999;1171200;45,23563
2010-03-09;56,009998;56,259998;55,709999;56,049999;804400;45,163097
2010-03-10;56,029999;56,490002;55,849998;56,16;858500;45,251743
2010-03-11;56,029999;56,049999;55,41;55,84;1240400;44,993885
2010-03-12;56,09;56,09;55,200001;55,360001;1413700;44,607124
2010-03-15;55,470001;55,470001;54,509998;54,990002;1045500;44,309002
2010-03-16;55,080002;55,5;54,790001;55,330002;1228000;44,582958
2010-03-17;55,32;55,82;55,16;55,23;852800;44,502373
2010-03-18;55,400002;55,400002;54,939999;55,130001;797300;44,421806
2010-03-19;55,369999;55,580002;54,900002;55,369999;1785400;44,615185
2010-03-22;55,07;56,169998;54,860001;55,860001;1201500;45,010025
2010-03-23;55,919998;57;55,799999;56,779999;1913300;45,751316
2010-03-24;56,720001;56,77;55,77;55,82;796600;44,977798
2010-03-25;56,139999;56,700001;55,860001;55,919998;1108400;45,058365
2010-03-26;56,189999;56,650002;55,290001;55,43;1276600;44,663525
2010-03-29;55,720001;56,110001;55,52;55,549999;1078000;44,76022
2010-03-30;55,740002;56,5;55,5;56,16;1121000;45,251743
2010-03-31;55,830002;56,75;55,630001;56,360001;1057700;45,412899
2010-04-01;56,639999;57,279999;56,279999;56,639999;876600;45,638515
2010-04-05;56,869999;57,720001;56,599998;57,32;696400;46,18642
2010-04-06;57,110001;58,049999;56,939999;58,040001;1085600;46,766575
2010-04-07;57,860001;58,060001;57,299999;57,610001;976100;46,420094
2010-04-08;57,299999;59,009998;57,27;58,98;1257600;47,523994
2010-04-09;59;59,349998;58,860001;59,139999;842300;47,652908
2010-04-12;59,290001;59,75;59,209999;59,610001;891700;48,031624
2010-04-13;59,560001;59,68;58,810001;59,130001;1586000;47,644867
2010-04-14;59,290001;60,41;59,16;60,380001;821500;48,652073
2010-04-15;59,939999;60,880001;59,939999;60,799999;824300;48,990498
2010-04-16;60,560001;60,75;59,490002;60,009998;1287400;48,353928
2010-04-19;59,790001;59,939999;58,580002;59,27;998600;47,757664
2010-04-20;59,830002;60,73;59,830002;60,689999;827900;48,901859
2010-04-21;60,630001;60,830002;59,849998;60,419998;1061500;48,684292
2010-04-22;59,869999;62,200001;59,419998;62,07;1530000;50,013809
2010-04-23;62,209999;62,720001;61,580002;62,709999;663300;50,529495
2010-04-26;62,939999;63,84;62,700001;62,830002;662100;50,626194
2010-04-27;62,419998;63,110001;61,07;61,27;1094300;49,369198
