"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;53,740002;54,099998;53,200001;53,509998;4890300;42,476501
2010-01-05;53,27;54,07;53,029999;54,049999;6379300;42,905163
2010-01-06;54,029999;54,849998;53,669998;54,049999;3013600;42,905163
2010-01-07;53,849998;57,209999;53,75;56,98;5700800;45,231018
2010-01-08;56,810001;57,52;56,099998;57,130001;3770800;45,350082
2010-01-11;57,18;58;56,93;57,290001;2840700;45,477108
2010-01-12;56,84;57,759998;55,919998;56,700001;2778300;45,008755
2010-01-13;56,580002;57,490002;56,290001;57,040001;2945800;45,358643
2010-01-14;56,93;57,98;56,439999;57,84;3064100;45,994801
2010-01-15;57,509998;58;56,43;56,68;3955300;45,072372
2010-01-19;56,540001;58,200001;55,720001;57,830002;3770800;45,986858
2010-01-20;57,709999;58,939999;57,299999;58,790001;6107900;46,750259
2010-01-21;57,639999;58,049999;55,009998;55,700001;9860900;44,29306
2010-01-22;56,18;56,639999;53,310001;53,619999;7256500;42,639019
2010-01-25;54,369999;54,91;53,07;54,009998;3369800;42,949154
2010-01-26;53,869999;54,810001;52,599998;52,66;4635100;41,875637
2010-01-27;52,48;54,66;52,439999;54,360001;4513800;43,227482
2010-01-28;54,869999;55;53,200001;54,139999;4652600;43,052536
2010-01-29;55,369999;56,889999;55,200001;55,43;8374700;44,078369
2010-02-01;55,82;56,220001;55,009998;55,860001;5043100;44,420292
2010-02-02;55,889999;56,25;53,799999;54,650002;9538100;43,458096
2010-02-03;54,169998;54,599998;53,669998;53,709999;74680900;42,710594
2010-02-04;53,57;53,650002;51;51,029999;20035300;40,579445
2010-02-05;51,720001;51,889999;50,459999;51,790001;12992600;41,183796
2010-02-08;51,66;52,200001;50,610001;50,75;6601800;40,35677
2010-02-09;51,490002;52,080002;50,459999;51,060001;9227900;40,603302
2010-02-10;51,18;52,029999;50,91;51,279999;5768000;40,778244
2010-02-11;51,310001;51,700001;50,740002;51,400002;4962000;40,873665
2010-02-12;51,41;51,610001;50,599998;51,52;7488900;40,969105
2010-02-16;51,740002;52,5;51,27;52,439999;6835200;41,700684
2010-02-17;52,799999;52,799999;51,400002;51,849998;6298200;41,231514
2010-02-18;51,470001;52,220001;51,439999;51,869999;3664900;41,247402
2010-02-19;51,650002;52,139999;51,310001;51,700001;5378500;41,112225
2010-02-22;52,380001;53,610001;52,369999;53,169998;6449300;42,281185
2010-02-23;53,07;53,389999;52,09;52,560001;6263700;41,796108
2010-02-24;52,82;53,82;52,290001;53,779999;5567400;42,766266
2010-02-25;53,490002;53,650002;52,599998;53,639999;4679600;42,65493
2010-02-26;53,599998;54,060001;53,130001;53,759998;7781200;42,750374
2010-03-01;53,889999;54;53,279999;53,810001;3469300;42,790119
2010-03-02;53,529999;54,23;53,110001;53,509998;6209200;42,551544
2010-03-03;53,59;54,34;53,41;53,75;4097500;42,742413
2010-03-04;53,939999;54,299999;53,689999;54,200001;4973800;43,100239
2010-03-05;54,650002;55,68;54,32;55,57;5536200;44,189682
2010-03-08;56,27;56,290001;55,5;55,529999;3620200;44,15789
2010-03-09;55,439999;56,5;55,049999;56,189999;5344600;44,68272
2010-03-10;56,490002;57,599998;56,119999;57,400002;6290900;45,644909
2010-03-11;57,259998;58,450001;56,93;58,439999;5273800;46,471924
2010-03-12;58,77;58,919998;57,669998;57,860001;3832100;46,010715
2010-03-15;57,419998;57,580002;56,349998;57,299999;4619100;45,565395
2010-03-16;57,43;58,619999;57,330002;58,619999;4174600;46,615059
2010-03-17;58,849998;60,099998;58,59;59,959999;6055100;47,680649
2010-03-18;59,91;59,98;58,43;59,200001;4277000;47,07629
2010-03-19;59,610001;60,139999;58,84;59,610001;4548100;47,402325
2010-03-22;58,959999;60,09;58,84;59,849998;3035600;47,593174
2010-03-23;59,810001;59,98;58,799999;59,810001;2574600;47,561363
2010-03-24;59,619999;60,560001;59,360001;59,869999;3476900;47,609077
2010-03-25;60,209999;61,799999;59,84;59,93;5465700;47,656788
2010-03-26;59,98;60,959999;59,18;59,57;3660000;47,370518
2010-03-29;60;60,16;58,959999;59,470001;2715900;47,290997
2010-03-30;59,470001;59,580002;58,119999;58,689999;4012300;46,670734
2010-03-31;58,43;60;58,279999;59,700001;3886900;47,473896
2010-04-01;60,169998;60,73;59,889999;60,240002;3070600;47,903309
2010-04-05;60,5;61,700001;60,34;61,66;3057700;49,032494
2010-04-06;61,380001;62,650002;61,369999;62,580002;3588900;49,764091
2010-04-07;62,689999;63,349998;62,119999;62,5;4354800;49,700481
2010-04-08;62,360001;64,769997;62,189999;64,099998;6012100;50,972801
2010-04-09;64,360001;64,800003;63,490002;64,800003;4953900;51,609962
2010-04-12;64,830002;65,75;64,830002;65,269997;4676600;51,984299
2010-04-13;64,779999;65;63,360001;63,619999;5822200;50,670155
2010-04-14;63,860001;65,669998;63,860001;65,160004;4288500;51,896702
2010-04-15;64,970001;65,349998;64,010002;64,160004;3869100;51,100246
2010-04-16;64,019997;64,019997;60,790001;63,02;9749100;50,192295
2010-04-19;62,59;63,880001;62,169998;63,5;5084600;50,574585
2010-04-20;64,07;64,940002;63,240002;64,919998;3336600;51,705532
2010-04-21;64,879997;66,489998;64,120003;65,300003;6041400;52,008202
2010-04-22;66,849998;69,239998;66,389999;68,82;10169800;54,81171
2010-04-23;69,489998;70,449997;68,870003;69,639999;6376800;55,464779
2010-04-26;69,889999;69,889999;66,699997;66,769997;4366300;53,17897
2010-04-27;66,68;68,449997;66,019997;66,089996;5800900;52,63739
2010-04-28;66,099998;66,980003;64,709999;65,470001;7214900;52,1436
2010-04-29;66,230003;67,309998;65,790001;66,059998;7641300;52,613483
2010-04-30;65,900002;67,699997;65,889999;67,209999;9616700;53,529419
2010-05-03;67,449997;68,620003;67,050003;68,57;4947600;54,612583
2010-05-04;67,68;67,769997;65,970001;66,459999;5319000;52,932076
2010-05-05;65,779999;68,879997;65,419998;67,589996;7599000;53,832054
2010-05-06;67,160004;68,010002;60,860001;64,410004;9571500;51,299347
2010-05-07;64,5;65,660004;63,310001;64,139999;6822800;51,08432
2010-05-10;67,449997;68,449997;66,389999;67,839996;5981400;54,031181
2010-05-11;66,739998;69,68;66,529999;68,610001;4931200;54,644444
2010-05-12;68,970001;69,190002;68,07;68,519997;3676400;54,57275
2010-05-13;68,160004;68,790001;66,980003;66,989998;3898300;53,354195
2010-05-14;66,389999;66,720001;64,699997;65,610001;5403200;52,2551
2010-05-17;65,720001;66,489998;64,25;65,849998;4444900;52,446243
2010-05-18;66,440002;66,440002;63,169998;63,68;7212100;50,71793
2010-05-19;63,099998;64,150002;61,279999;62,779999;6555200;50,001122
2010-05-20;61,259998;62,139999;60,380001;60,549999;6822600;48,225048
2010-05-21;59,52;62,869999;59,279999;62,759998;7506900;49,985207
2010-05-24;62,240002;62,5;60,419998;60,560001;6539200;48,233028
2010-05-25;59,009998;61,900002;58,77;61,799999;6460200;49,220619
2010-05-26;61,990002;62,740002;61,02;61,630001;7511900;49,085232
2010-05-27;62,52;64,559998;62,130001;64,470001;4436300;51,347134
2010-05-28;64,230003;64,290001;62,32;62,75;3666500;49,977245
2010-06-01;62,209999;63,75;61,119999;61,16;3816300;48,710896
2010-06-02;61,849998;63,700001;61,459999;63,689999;4386400;50,72591
2010-06-03;63,970001;63,990002;61,75;62,040001;5001500;49,41177
2010-06-04;60,849998;61,310001;58,5;58,68;7212200;46,735691
2010-06-07;59,080002;60,220001;58,23;58,310001;5197800;46,44101
2010-06-08;58,450001;59,349998;57,59;59,240002;4785000;47,181709
2010-06-09;59,330002;59,450001;57,75;58,009998;4650200;46,202076
2010-06-10;58,84;60,73;58,84;60,580002;3891900;48,248943
2010-06-11;59,669998;61,330002;59,630001;61,25;3648300;48,782574
2010-06-14;61,669998;61,689999;60,119999;60,200001;3723000;47,946297
2010-06-15;60,84;62,009998;60,200001;61,959999;4289200;49,348057
2010-06-16;61,509998;62,830002;61,459999;62,349998;3366300;49,658665
2010-06-17;62,380001;62,490002;61,310001;62,189999;2891900;49,531223
2010-06-18;62,450001;62,950001;61,93;62,779999;4931000;50,001122
2010-06-21;63,689999;63,810001;61,529999;61,869999;3327300;49,276371
2010-06-22;62,009998;62,110001;60,52;60,630001;3664800;48,288765
2010-06-23;60,630001;61,43;60,279999;60,709999;3348300;48,352486
2010-06-24;60,110001;60,41;58,889999;59,07;3909400;47,04631
2010-06-25;59,880001;61,220001;59,490002;61,029999;4655600;48,607349
2010-06-28;61,23;61,299999;59,740002;59,830002;3066500;47,651623
2010-06-29;58,970001;59,59;57,259998;57,580002;5042000;45,8596
2010-06-30;57,400002;58,220001;56,299999;56,5;3691300;44,999428
2010-07-01;56,5;57,389999;54,529999;56,32;5283900;44,856064
2010-07-02;56,700001;56,959999;55,279999;55,669998;3034100;44,338364
2010-07-06;56,689999;57,369999;55,990002;56,740002;4127900;45,190571
2010-07-07;57,310001;61,23;57,029999;61,150002;8428900;48,702927
2010-07-08;61,349998;61,599998;60,060001;61,139999;4902900;48,694958
2010-07-09;61,040001;62,049999;60,759998;61,889999;3836500;49,292294
2010-07-12;61,639999;61,919998;60,639999;61,490002;2238800;49,052979
2010-07-13;62,380001;62,990002;61,990002;62,740002;3465000;50,050152
2010-07-14;62,220001;62,220001;60,299999;61,290001;5863100;48,893429
2010-07-15;61,360001;61,529999;59,240002;60,880001;3487300;48,566349
2010-07-16;59,970001;60,419998;57,889999;58,23;5482800;46,452354
2010-07-19;58,43;58,549999;56,709999;57,970001;4397700;46,244938
2010-07-20;57,16;59,029999;56,709999;58,939999;5042000;47,018738
2010-07-21;60;60,080002;58,060001;58,540001;5534700;46,699638
2010-07-22;59,84;61,099998;59,5;59,779999;6205100;47,688843
2010-07-23;59,459999;61,5;59,02;61,02;3771400;48,678032
2010-07-26;61,169998;62,27;60,5;61,849998;2995400;49,340157
2010-07-27;62;62,740002;61,27;61,299999;3473100;48,901405
2010-07-28;60,91;61,450001;58,93;59,630001;5685300;47,569183
2010-07-29;60,720001;60,939999;58,91;59,599998;3289200;47,545246
2010-07-30;58,98;59,84;58,669998;59,389999;2326600;47,377724
2010-08-02;60,209999;61;59,470001;60,959999;3153000;48,630173
2010-08-03;60,689999;60,82;59,950001;60,349998;2688600;48,143547
2010-08-04;60,450001;60,5;59,77;60,330002;3008500;48,127594
2010-08-05;59,849998;60,360001;59,5;60,169998;2984600;47,999962
2010-08-06;59,189999;59,48;57,68;58,830002;3957700;46,930988
2010-08-09;59,18;59,209999;57,639999;58,02;4955000;46,284821
2010-08-10;57,279999;59,200001;57,279999;58,709999;4110600;46,835266
2010-08-11;57,610001;58,150002;56,639999;56,75;5081600;45,271694
2010-08-12;55,740002;56,93;55,740002;56,09;4220000;44,745174
2010-08-13;56,150002;56,450001;55,02;55,09;4700500;43,947445
2010-08-16;54,810001;55,779999;54,709999;55,639999;2822900;44,386196
2010-08-17;56,240002;56,360001;55,279999;55,419998;5436900;44,21069
2010-08-18;55,540001;56,360001;55,02;56,259998;4148700;44,880802
2010-08-19;55,93;56,330002;54,259998;54,290001;4463000;43,309254
2010-08-20;54,27;54,349998;52,48;52,73;7096800;42,064777
2010-08-23;53,299999;53,5;52,130001;52,150002;4843800;41,602089
2010-08-24;51,48;51,73;50,490002;50,560001;7631000;40,333691
2010-08-25;50,240002;50,740002;49,43;50,540001;6213900;40,31773
2010-08-26;50,650002;51,880001;50,490002;50,529999;8426600;40,309757
2010-08-27;50,82;52,060001;50,200001;51,970001;4797400;41,458492
2010-08-30;51,560001;51,669998;50,310001;50,360001;2738100;40,174141
2010-08-31;50,389999;51,48;50,099998;50,990002;3758400;40,676704
2010-09-01;51,880001;53,439999;51,41;53,189999;6432000;42,43174
2010-09-02;53,09;54,16;53;54,110001;3942000;43,165665
2010-09-03;54,68;55,169998;54,16;54,93;3447400;43,819798
2010-09-07;54,43;54,43;52,849998;52,98;3543900;42,264217
2010-09-08;52,93;54,299999;52,68;53,939999;2807700;43,030037
2010-09-09;54,77;55,27;54;54,700001;3554200;43,636326
2010-09-10;54,73;55,34;54,400002;54,759998;2487400;43,684185
2010-09-13;55,740002;57,380001;55,740002;56,34;4368500;44,94463
2010-09-14;56,060001;56,150002;54,82;55,279999;3986700;44,099018
2010-09-15;54,860001;54,970001;53,66;54,830002;4044000;43,74004
2010-09-16;54,759998;54,919998;53,84;54,470001;2378100;43,452854
2010-09-17;54,759998;55,110001;53,790001;54,349998;3378600;43,357121
2010-09-20;54,560001;54,619999;53,830002;53,98;5667300;43,061951
2010-09-21;54,290001;54,630001;52,540001;52,549999;8350700;41,921192
2010-09-22;52,330002;52,580002;50,790001;51,27;11254300;40,900078
2010-09-23;50,849998;52,5;50,75;51,43;8654800;41,027721
2010-09-24;52,240002;53,119999;51,5;53,080002;6342900;42,343987
2010-09-27;52,939999;52,950001;51,41;51,470001;4718200;41,059635
2010-09-28;51,490002;52,689999;51,369999;52,5;5146000;41,881306
2010-09-29;52,130001;52,34;51,560001;51,799999;4432200;41,322884
2010-09-30;52,290001;52,759998;51,709999;51,91;5454000;41,410629
2010-10-01;52,560001;53;51,939999;52,84;5008800;42,152534
2010-10-04;52,66;53,27;51,84;52,099998;3654700;41,562202
2010-10-05;52,509998;53,950001;52,299999;53,48;5938600;42,663094
2010-10-06;53,27;53,970001;52,939999;53,779999;4380400;42,902409
2010-10-07;54,130001;54,349998;52,689999;53,099998;3949300;42,35994
2010-10-08;53,189999;53,439999;52,759998;53,080002;3511500;42,343987
2010-10-11;53,029999;53,310001;52,59;52,84;3057100;42,152534
2010-10-12;52,709999;53,25;52,099998;53,049999;5104700;42,320065
2010-10-13;53,369999;53,880001;52,790001;52,919998;4751900;42,296082
2010-10-14;52,73;52,73;50,970001;51,75;7674500;41,360966
2010-10-15;52,029999;52,240002;50,689999;51,32;7616600;41,017292
2010-10-18;51,080002;53,080002;51,009998;53,009998;3886500;42,368004
2010-10-19;52,419998;53,82;52,419998;53,040001;6011700;42,391994
2010-10-20;52,959999;53,450001;52;52,740002;5958000;42,15221
2010-10-21;52,59;54,360001;52,400002;53,560001;7742200;42,807606
2010-10-22;53,790001;54,73;53,650002;54,720001;5072800;43,734718
2010-10-25;55;55;53,849998;54;4102200;43,159271
2010-10-26;53,759998;54,330002;53,599998;54;3305900;43,159271
2010-10-27;53,669998;54,610001;53,459999;53,75;4741400;42,959446
2010-10-28;54,080002;54,299999;53,259998;53,639999;2417900;42,871532
2010-10-29;53,509998;54,18;53,360001;53,900002;2380300;43,079338
2010-11-01;54,080002;54,599998;52,52;53,169998;3979100;42,495903
2010-11-02;53,470001;53,490002;52,650002;52,900002;3271600;42,28009
2010-11-03;52,900002;54,080002;52,549999;54,060001;5808300;43,207218
2010-11-04;54,540001;56;54,310001;55,93;6551600;44,701801
2010-11-05;56,470001;59;56,119999;58,41;10117500;46,683937
2010-11-08;57,84;58,259998;56,73;57,650002;4569100;46,076508
2010-11-09;57,91;58,049999;56,080002;56,25;5330700;44,957565
2010-11-10;56,299999;57,349998;55,91;57,32;4722000;45,812763
2010-11-11;56,869999;58,080002;56,759998;57,810001;5629400;46,204391
2010-11-12;57,330002;58,02;56,470001;56,639999;4113600;45,269268
2010-11-15;56,950001;57,330002;56,639999;56,959999;3207800;45,525028
2010-11-16;56,650002;56,689999;55;55,610001;5268600;44,446053
2010-11-17;55,740002;56,150002;55,27;55,400002;3842800;44,278217
2010-11-18;56,18;56,950001;55,860001;56,23;4984900;44,941586
2010-11-19;56,009998;56,380001;55,59;56,290001;2859600;44,98954
2010-11-22;55,73;56,07;55,209999;55,580002;2992900;44,42207
2010-11-23;54,709999;55,220001;54,5;54,650002;3790800;43,678768
2010-11-24;55;55,119999;54,290001;54,66;2928300;43,686771
2010-11-26;54,029999;54,939999;54,029999;54,119999;1170200;43,255177
2010-11-29;53,84;54,669998;53,66;54,32;3170300;43,41502
2010-11-30;53,849998;54,369999;53,720001;53,849998;4796400;43,039375
2010-12-01;54,619999;55,23;54,25;55,169998;4177400;44,094376
2010-12-02;55,119999;56,740002;55,040001;56,57;6182600;45,213326
2010-12-03;56,290001;57,380001;55,860001;57,259998;3655500;45,764805
2010-12-06;56,98;57,48;56,799999;57,310001;2951800;45,804771
2010-12-07;58,080002;58,23;57,549999;57,860001;6348300;46,244373
2010-12-08;57,919998;60,18;57,759998;60,18;7516300;48,098598
2010-12-09;60,549999;61,790001;60,43;61,57;9553600;49,209545
2010-12-10;61,509998;61,779999;60,32;60,669998;7532900;48,490227
2010-12-13;61,240002;61,349998;59,77;60;7282100;47,954735
2010-12-14;60,02;60,98;60,02;60,41;4573800;48,282425
2010-12-15;60,41;60,43;58,48;58,560001;6991200;46,803829
2010-12-16;58,799999;59,389999;57,880001;58,419998;5137000;46,691933
2010-12-17;58,509998;58,889999;58,310001;58,5;3687200;46,755871
2010-12-20;58,73;59,200001;58,619999;58,630001;2758100;46,859772
2010-12-21;58,91;60,23;58,740002;60,110001;3137400;48,042648
2010-12-22;60,07;61,32;60,07;60,619999;3220900;48,450264
2010-12-23;60,439999;60,669998;59,77;60,110001;2369600;48,042648
2010-12-27;59,990002;60,419998;59,73;60,400002;1499700;48,274433
2010-12-28;60,41;60,919998;59,900002;60,790001;2161000;48,586147
2010-12-29;60,880001;61,259998;60,599998;61,189999;2691300;48,905834
2010-12-30;60,990002;61,099998;60,509998;60,880001;2431700;48,658066
2010-12-31;60,77;61,02;60,59;60,720001;1329500;48,530209
2011-01-03;61,290001;61,919998;61,290001;61,459999;3871600;49,121639
2011-01-04;61,669998;61,889999;60,130001;60,630001;3621000;48,45826
2011-01-05;60,650002;61,849998;60,48;61,799999;5537400;49,393383
2011-01-06;61,709999;63,18;61,450001;62,279999;4905100;49,777016
2011-01-07;62,529999;62,700001;61,110001;61,939999;4480500;49,50528
2011-01-10;61,369999;62,049999;61,16;61,619999;2296900;49,249516
2011-01-11;61,889999;62,130001;61,23;61,720001;3343700;49,329433
2011-01-12;62,23;62,82;62,110001;62,200001;3794700;49,793758
2011-01-13;62,290001;62,299999;61,040001;61,130001;3388700;48,93718
2011-01-14;61,130001;64,339996;61,080002;64,220001;7076600;51,410851
2011-01-18;63,32;64,07;62,849998;63,240002;4071700;50,626308
2011-01-19;62,68;63,349998;61,48;61,810001;5511300;49,481541
2011-01-20;60,709999;61,419998;59,91;61;6808600;48,833099
2011-01-21;61,990002;62,07;60,200001;60,830002;6557200;48,697018
2011-01-24;60,52;60,98;60,25;60,48;3178100;48,416821
2011-01-25;60,209999;60,959999;59,84;60,880001;4771300;48,737041
2011-01-26;61;61,5;60,43;61,169998;3822000;48,969196
2011-01-27;61,240002;61,82;60,549999;61,669998;2519600;49,369469
2011-01-28;61,650002;61,990002;60,07;60,110001;4421600;48,120613
2011-01-31;60,360001;60,740002;59,759998;60;4851700;48,032566
2011-02-01;60,32;62,689999;60,130001;62,290001;5519600;49,86581
2011-02-02;62,049999;62,720001;61,889999;62,330002;3447700;49,897823
2011-02-03;62,07;62,75;61,82;62,110001;2965800;49,721703
2011-02-04;62,07;62,130001;61,509998;62;1949100;49,633644
2011-02-07;62,169998;63,25;61,919998;62,75;2495000;50,234051
2011-02-08;62,860001;64,32;62,549999;64,309998;4236500;51,482903
2011-02-09;63,919998;64,669998;63,639999;64,209999;3732300;51,40284
2011-02-10;64,279999;64,440002;63,419998;63,849998;2418300;51,114651
2011-02-11;63,720001;64,889999;63,130001;64,489998;2586800;51,626991
2011-02-14;64,029999;64,959999;64,029999;64,940002;2673600;51,987236
2011-02-15;64,559998;65,190002;64,440002;64,610001;3726700;51,723061
2011-02-16;64,730003;65,059998;64,550003;64,889999;3278700;51,947216
2011-02-17;64,540001;64,739998;63,950001;64,029999;2685900;51,258751
2011-02-18;64,25;64,459999;63,919998;63,990002;2384500;51,22673
2011-02-22;63,049999;63,330002;61,68;61,860001;4900800;49,521572
2011-02-23;61,790001;62,029999;60,220001;61,560001;4573300;49,281414
2011-02-24;61,360001;61,689999;60,59;61,169998;3552200;48,969196
2011-02-25;61,630001;62,18;61,419998;61,880001;2511500;49,537579
